#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2018-01-01 00:00:00+00:00 2018-01-04 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,feel,metar
DKK,2018-01-01 08:20,-79.2720,42.4933,M,M,M,310.00,8.00,M,30.41,M,10.00,M,FEW,OVC,M,M,3300.00,7000.00,M,M,M,M,M,M,M,KDKK 010820Z AUTO 31008KT 10SM FEW033 OVC070 M12/M18 A3041 RMK T11201180 MADISHF
ROC,2018-01-01 08:20,-77.6767,43.1167,M,M,M,270.00,5.00,M,30.39,M,1.75,M,OVC,M,M,M,1699.00,M,M,M,-SN BR,M,M,M,M,KROC 010820Z AUTO 27005KT 2SM -SN BR OVC016 M15/M17 A3039 RMK T11501170 MADISHF
FZY,2018-01-01 08:20,-76.3847,43.3497,M,M,M,40.00,7.00,M,30.39,M,1.50,M,OVC,M,M,M,1600.00,M,M,M,-SN,M,M,M,M,KFZY 010820Z AUTO 04007KT 1 1/2SM -SN OVC016 M19/M22 A3039 RMK T11901220 MADISHF
BUF,2018-01-01 08:24,-78.7358,42.9408,3.00,-0.90,83.36,290.00,3.00,0.00,30.39,M,10.00,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,-4.46,KBUF 010824Z 29003KT 10SM FEW025 M16/M18 A3039 RMK AO2 T11611183 $
IAG,2018-01-01 08:25,-78.9462,43.1073,M,M,M,240.00,3.00,M,30.40,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010825Z AUTO 24003KT 10SM BKN027 M16/M20 A3040 RMK T11601200 MADISHF
DSV,2018-01-01 08:25,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,FEW,M,M,M,3399.00,M,M,M,M,M,M,M,M,KDSV 010825Z AUTO 00000KT 10SM FEW033 M19/M21 A3038 RMK T11901210 MADISHF
BUF,2018-01-01 08:25,-78.7358,42.9408,M,M,M,280.00,3.00,M,30.39,M,10.00,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,KBUF 010825Z AUTO 28003KT 10SM FEW025 M16/M18 A3039 RMK T11601180 MADISHF
FZY,2018-01-01 08:25,-76.3847,43.3497,M,M,M,30.00,6.00,M,30.39,M,1.50,M,OVC,M,M,M,1600.00,M,M,M,-SN,M,M,M,M,KFZY 010825Z AUTO 03006KT 1 1/2SM -SN OVC016 M19/M22 A3039 RMK T11901220 MADISHF
DKK,2018-01-01 08:25,-79.2720,42.4933,M,M,M,330.00,8.00,M,30.40,M,10.00,M,FEW,OVC,M,M,3300.00,7000.00,M,M,M,M,M,M,M,KDKK 010825Z AUTO 33008KT 10SM FEW033 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
ROC,2018-01-01 08:25,-77.6767,43.1167,M,M,M,270.00,5.00,M,30.39,M,1.50,M,OVC,M,M,M,1699.00,M,M,M,-SN BR,M,M,M,M,KROC 010825Z AUTO 27005KT 1 1/2SM -SN BR OVC016 M15/M17 A3039 RMK T11501170 MADISHF
ART,2018-01-01 08:25,-76.0262,43.9888,M,M,M,80.00,4.00,M,30.42,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010825Z AUTO 08004KT 8SM CLR A3042 RMK MADISHF
ART,2018-01-01 08:30,-76.0262,43.9888,M,M,M,90.00,4.00,M,30.42,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010830Z AUTO 09004KT 8SM CLR M33/M36 A3042 RMK T13301360 MADISHF
BUF,2018-01-01 08:30,-78.7358,42.9408,M,M,M,0.00,0.00,M,30.39,M,10.00,M,SCT,M,M,M,2500.00,M,M,M,M,M,M,M,M,KBUF 010830Z AUTO 00000KT 10SM SCT025 M16/M18 A3039 RMK T11601180 MADISHF
DKK,2018-01-01 08:30,-79.2720,42.4933,M,M,M,330.00,5.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3100.00,7000.00,M,M,M,M,M,M,M,KDKK 010830Z AUTO 33005KT 10SM SCT031 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
IAG,2018-01-01 08:30,-78.9462,43.1073,M,M,M,250.00,4.00,M,30.40,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010830Z AUTO 25004KT 10SM BKN027 M16/M20 A3040 RMK T11601200 MADISHF
DSV,2018-01-01 08:30,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,SCT,M,M,M,3399.00,M,M,M,M,M,M,M,M,KDSV 010830Z AUTO 00000KT 10SM SCT033 M18/M21 A3038 RMK T11801210 MADISHF
ROC,2018-01-01 08:30,-77.6767,43.1167,M,M,M,270.00,4.00,M,30.39,M,2.50,M,BKN,OVC,M,M,1699.00,3999.00,M,M,-SN BR,M,M,M,M,KROC 010830Z AUTO 27004KT 2 1/2SM -SN BR BKN016 OVC039 M15/M17 A3039 RMK T11501170 MADISHF
ROC,2018-01-01 08:32,-77.6767,43.1167,3.90,1.90,91.16,270.00,4.00,T,30.39,M,3.00,M,BKN,OVC,M,M,1700.00,4000.00,M,M,-SN BR,M,M,M,-5.39,KROC 010832Z 27004KT 3SM -SN BR BKN017 OVC040 M16/M17 A3039 RMK AO2 P0000 T11561167 $
SDC,2018-01-01 08:35,-77.1195,43.2346,8.60,1.40,71.92,340.00,6.00,0.00,30.40,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,-2.65,KSDC 010835Z AUTO 34006KT 10SM OVC025 M13/M17 A3040 RMK AO2
ROC,2018-01-01 08:35,-77.6767,43.1167,M,M,M,270.00,4.00,M,30.39,M,3.50,M,BKN,OVC,M,M,1699.00,3999.00,M,M,-SN BR,M,M,M,M,KROC 010835Z AUTO 27004KT 3SM -SN BR BKN016 OVC039 M16/M17 A3039 RMK T11601170 MADISHF
IAG,2018-01-01 08:35,-78.9462,43.1073,M,M,M,250.00,5.00,M,30.40,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010835Z AUTO 25005KT 10SM BKN027 M16/M20 A3040 RMK T11601200 MADISHF
FZY,2018-01-01 08:35,-76.3847,43.3497,M,M,M,40.00,4.00,M,30.39,M,1.50,M,OVC,M,M,M,1699.00,M,M,M,-SN,M,M,M,M,KFZY 010835Z AUTO 04004KT 1 1/2SM -SN OVC016 M19/M22 A3039 RMK T11901220 MADISHF
BUF,2018-01-01 08:35,-78.7358,42.9408,M,M,M,220.00,3.00,M,30.39,M,10.00,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,KBUF 010835Z AUTO 22003KT 10SM FEW025 M17/M19 A3039 RMK T11701190 MADISHF
DKK,2018-01-01 08:35,-79.2720,42.4933,M,M,M,320.00,6.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3100.00,7000.00,M,M,M,M,M,M,M,KDKK 010835Z AUTO 32006KT 10SM SCT031 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
DSV,2018-01-01 08:35,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,BKN,M,M,M,3200.00,M,M,M,M,M,M,M,M,KDSV 010835Z AUTO 00000KT 10SM BKN032 M18/M21 A3038 RMK T11801210 MADISHF
ROC,2018-01-01 08:40,-77.6767,43.1167,M,M,M,270.00,5.00,M,30.39,M,3.00,M,BKN,OVC,M,M,1699.00,3900.00,M,M,-SN BR,M,M,M,M,KROC 010840Z AUTO 27005KT 3SM -SN BR BKN016 OVC039 M16/M17 A3039 RMK T11601170 MADISHF
FZY,2018-01-01 08:40,-76.3847,43.3497,M,M,M,40.00,4.00,M,30.39,M,1.75,M,OVC,M,M,M,1699.00,M,M,M,-SN,M,M,M,M,KFZY 010840Z AUTO 04004KT 2SM -SN OVC016 M19/M22 A3039 RMK T11901220 MADISHF
BUF,2018-01-01 08:40,-78.7358,42.9408,M,M,M,230.00,4.00,M,30.39,M,10.00,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,KBUF 010840Z AUTO 23004KT 10SM FEW025 M17/M19 A3039 RMK T11701190 MADISHF
ART,2018-01-01 08:40,-76.0262,43.9888,M,M,M,80.00,3.00,M,30.42,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010840Z AUTO 08003KT 9SM CLR M33/M36 A3042 RMK T13301360 MADISHF
DSV,2018-01-01 08:40,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,BKN,BKN,M,M,3000.00,3399.00,M,M,M,M,M,M,M,KDSV 010840Z AUTO 00000KT 10SM BKN030 BKN033 M18/M20 A3038 RMK T11801200 MADISHF
DKK,2018-01-01 08:40,-79.2720,42.4933,M,M,M,310.00,6.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,M,KDKK 010840Z AUTO 31006KT 10SM SCT032 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
IAG,2018-01-01 08:40,-78.9462,43.1073,M,M,M,260.00,5.00,M,30.40,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010840Z AUTO 26005KT 10SM BKN027 M16/M20 A3040 RMK T11601200 MADISHF
IAG,2018-01-01 08:45,-78.9462,43.1073,M,M,M,260.00,6.00,M,30.40,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010845Z AUTO 26006KT 10SM BKN027 M17/M21 A3040 RMK T11701210 MADISHF
FZY,2018-01-01 08:45,-76.3847,43.3497,M,M,M,40.00,3.00,M,30.38,M,2.00,M,OVC,M,M,M,1900.00,M,M,M,-SN,M,M,M,M,KFZY 010845Z AUTO 04003KT 2SM -SN OVC019 M19/M22 A3038 RMK T11901220 MADISHF
ROC,2018-01-01 08:45,-77.6767,43.1167,M,M,M,260.00,6.00,M,30.39,M,3.00,M,BKN,OVC,M,M,1800.00,3700.00,M,M,-SN BR,M,M,M,M,KROC 010845Z AUTO 26006KT 3SM -SN BR BKN018 OVC037 M16/M17 A3039 RMK T11601170 MADISHF
DKK,2018-01-01 08:45,-79.2720,42.4933,M,M,M,320.00,6.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,M,KDKK 010845Z AUTO 32006KT 10SM SCT032 OVC070 M12/M17 A3040 RMK T11201170 MADISHF
ART,2018-01-01 08:45,-76.0262,43.9888,M,M,M,90.00,5.00,M,30.41,M,9.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010845Z AUTO 09005KT 9SM CLR A3041 RMK MADISHF
DSV,2018-01-01 08:45,-77.7130,42.5709,M,M,M,170.00,3.00,M,30.38,M,10.00,M,BKN,BKN,BKN,M,3000.00,3399.00,4600.00,M,M,M,M,M,M,KDSV 010845Z AUTO 17003KT 10SM BKN030 BKN033 BKN046 M18/M20 A3038 RMK T11801200 MADISHF
BUF,2018-01-01 08:45,-78.7358,42.9408,M,M,M,230.00,4.00,M,30.38,M,10.00,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,KBUF 010845Z AUTO 23004KT 10SM FEW025 M17/M19 A3038 RMK T11701190 MADISHF
ART,2018-01-01 08:50,-76.0262,43.9888,M,M,M,80.00,5.00,M,30.42,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010850Z AUTO 08005KT 8SM CLR M34/M37 A3042 RMK T13401370 MADISHF
FZY,2018-01-01 08:50,-76.3847,43.3497,M,M,M,30.00,4.00,M,30.39,M,2.00,M,OVC,M,M,M,1900.00,M,M,M,-SN,M,M,M,M,KFZY 010850Z AUTO 03004KT 2SM -SN OVC019 M19/M22 A3039 RMK T11901220 MADISHF
IAG,2018-01-01 08:50,-78.9462,43.1073,M,M,M,260.00,5.00,M,30.40,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010850Z AUTO 26005KT 10SM BKN027 M17/M21 A3040 RMK T11701210 MADISHF
ROC,2018-01-01 08:50,-77.6767,43.1167,M,M,M,260.00,4.00,M,30.39,M,4.00,M,BKN,OVC,M,M,1800.00,3700.00,M,M,-SN BR,M,M,M,M,KROC 010850Z AUTO 26004KT 4SM -SN BR BKN018 OVC037 M16/M17 A3039 RMK T11601170 MADISHF
DSV,2018-01-01 08:50,-77.7130,42.5709,M,M,M,160.00,3.00,M,30.37,M,10.00,M,BKN,BKN,OVC,M,2700.00,3399.00,4600.00,M,M,M,M,M,M,KDSV 010850Z AUTO 16003KT 10SM BKN027 BKN033 OVC046 M18/M20 A3037 RMK T11801200 MADISHF
BUF,2018-01-01 08:50,-78.7358,42.9408,M,M,M,240.00,5.00,M,30.39,M,10.00,M,SCT,M,M,M,2500.00,M,M,M,M,M,M,M,M,KBUF 010850Z AUTO 24005KT 10SM SCT025 M17/M19 A3039 RMK T11701190 MADISHF
DKK,2018-01-01 08:50,-79.2720,42.4933,M,M,M,330.00,7.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,M,KDKK 010850Z AUTO 33007KT 10SM BKN032 OVC070 M12/M17 A3040 RMK T11201170 MADISHF
DSV,2018-01-01 08:52,-77.7130,42.5709,-0.40,-4.00,84.30,180.00,3.00,0.00,30.38,M,10.00,M,BKN,BKN,OVC,M,2700.00,3400.00,4500.00,M,M,M,M,M,-8.35,KDSV 010852Z AUTO 18003KT 10SM BKN027 BKN034 OVC045 M18/M20 A3038 RMK AO2
IAG,2018-01-01 08:53,-78.9462,43.1073,1.90,-6.00,68.77,250.00,5.00,0.00,30.40,1032.20,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,-9.35,KIAG 010853Z AUTO 25005KT 10SM BKN027 M17/M21 A3040 RMK AO2 SLP322 T11671211 58001
DKK,2018-01-01 08:53,-79.2720,42.4933,10.90,0.00,60.77,320.00,7.00,0.00,30.40,1030.90,10.00,M,BKN,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,-0.94,KDKK 010853Z AUTO 32007KT 10SM BKN032 OVC070 M12/M18 A3040 RMK AO2 SLP309 T11171178 58003
BUF,2018-01-01 08:54,-78.7358,42.9408,1.90,-0.90,87.72,240.00,5.00,0.00,30.39,1031.00,10.00,M,SCT,M,M,M,2500.00,M,M,M,M,M,M,M,-9.35,KBUF 010854Z 24005KT 10SM SCT025 M17/M18 A3039 RMK AO2 SLP310 T11671183 58000 $
ROC,2018-01-01 08:54,-77.6767,43.1167,3.90,1.00,87.42,260.00,5.00,T,30.39,1030.70,5.00,M,SCT,BKN,M,M,1800.00,3700.00,M,M,-SN BR,M,M,M,-6.98,KROC 010854Z 26005KT 5SM -SN BR SCT018 BKN037 M16/M17 A3039 RMK AO2 SLP307 P0000 60000 T11561172 50001 $
FZY,2018-01-01 08:54,-76.3847,43.3497,-2.90,-8.00,78.21,40.00,3.00,T,30.39,1030.20,1.75,M,OVC,M,M,M,1900.00,M,M,M,-SN,M,M,M,-11.21,KFZY 010854Z AUTO 04003KT 1 3/4SM -SN OVC019 M19/M22 A3039 RMK AO2 SLP302 P0000 60000 T11941222 50006
DSV,2018-01-01 08:54,-77.7130,42.5709,0.00,-4.00,82.73,0.00,0.00,0.00,30.38,1031.30,10.00,M,BKN,BKN,OVC,M,2700.00,3400.00,4500.00,M,M,M,M,M,0.00,KDSV 010854Z AUTO 00000KT 10SM BKN027 BKN034 OVC045 M18/M20 A3038 RMK AO2 SLP313 60000 T11781200 56002
SDC,2018-01-01 08:55,-77.1195,43.2346,8.60,1.40,71.92,340.00,5.00,0.00,30.40,M,10.00,M,BKN,OVC,M,M,2700.00,3300.00,M,M,M,M,M,M,-1.39,KSDC 010855Z AUTO 34005KT 10SM BKN027 OVC033 M13/M17 A3040 RMK AO2
DKK,2018-01-01 08:55,-79.2720,42.4933,M,M,M,330.00,6.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,M,KDKK 010855Z AUTO 33006KT 10SM BKN032 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
BUF,2018-01-01 08:55,-78.7358,42.9408,M,M,M,240.00,5.00,M,30.39,M,10.00,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,KBUF 010855Z AUTO 24005KT 10SM FEW025 A3039 RMK MADISHF
DSV,2018-01-01 08:55,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,BKN,BKN,OVC,M,2700.00,3200.00,4500.00,M,M,M,M,M,M,KDSV 010855Z AUTO 00000KT 10SM BKN027 BKN032 OVC045 M18/M20 A3038 RMK T11801200 MADISHF
IAG,2018-01-01 08:55,-78.9462,43.1073,M,M,M,250.00,5.00,M,30.40,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010855Z AUTO 25005KT 10SM OVC027 M17/M21 A3040 RMK T11701210 MADISHF
FZY,2018-01-01 08:55,-76.3847,43.3497,M,M,M,0.00,0.00,M,30.39,M,1.75,M,OVC,M,M,M,1900.00,M,M,M,-SN,M,M,M,M,KFZY 010855Z AUTO 00000KT 2SM -SN OVC019 M19/M22 A3039 RMK T11901220 MADISHF
ROC,2018-01-01 08:55,-77.6767,43.1167,M,M,M,250.00,5.00,M,30.39,M,6.00,M,SCT,BKN,M,M,1800.00,3700.00,M,M,-SN BR,M,M,M,M,KROC 010855Z AUTO 25005KT 6SM -SN BR SCT018 BKN037 M16/M17 A3039 RMK T11601170 MADISHF
ART,2018-01-01 08:56,-76.0262,43.9888,-27.90,-34.10,71.11,80.00,5.00,0.00,30.41,1031.90,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,-44.74,KART 010856Z AUTO 08005KT 8SM CLR M33/M37 A3041 RMK AO2 SLP319 T13331367 50002 $
BUF,2018-01-01 09:00,-78.7358,42.9408,M,M,M,240.00,6.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010900Z AUTO 24006KT 10SM CLR M17/M18 A3039 RMK T11701180 MADISHF
ART,2018-01-01 09:00,-76.0262,43.9888,M,M,M,80.00,4.00,M,30.41,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010900Z AUTO 08004KT 8SM CLR A3041 RMK MADISHF
DSV,2018-01-01 09:00,-77.7130,42.5709,M,M,M,150.00,3.00,M,30.38,M,10.00,M,BKN,OVC,M,M,2700.00,4200.00,M,M,M,M,M,M,M,KDSV 010900Z AUTO 15003KT 10SM BKN027 OVC042 M18/M20 A3038 RMK T11801200 MADISHF
DKK,2018-01-01 09:00,-79.2720,42.4933,M,M,M,310.00,8.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,M,KDKK 010900Z AUTO 31008KT 10SM BKN032 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
FZY,2018-01-01 09:00,-76.3847,43.3497,M,M,M,0.00,0.00,M,30.39,M,2.00,M,OVC,M,M,M,2100.00,M,M,M,-SN,M,M,M,M,KFZY 010900Z AUTO 00000KT 2SM -SN OVC021 M19/M22 A3039 RMK T11901220 MADISHF
IAG,2018-01-01 09:00,-78.9462,43.1073,M,M,M,250.00,5.00,M,30.39,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010900Z AUTO 25005KT 10SM BKN027 M17/M21 A3039 RMK T11701210 MADISHF
ROC,2018-01-01 09:00,-77.6767,43.1167,M,M,M,250.00,5.00,M,30.39,M,8.00,M,SCT,BKN,M,M,1900.00,3500.00,M,M,-SN,M,M,M,M,KROC 010900Z AUTO 25005KT 8SM -SN SCT019 BKN035 M16/M18 A3039 RMK T11601180 MADISHF
DSV,2018-01-01 09:05,-77.7130,42.5709,M,M,M,150.00,4.00,M,30.38,M,10.00,M,BKN,BKN,OVC,M,2700.00,3500.00,4200.00,M,M,M,M,M,M,KDSV 010905Z AUTO 15004KT 10SM BKN027 BKN035 OVC042 M18/M20 A3038 RMK T11801200 MADISHF
ROC,2018-01-01 09:05,-77.6767,43.1167,M,M,M,250.00,5.00,M,30.39,M,9.00,M,FEW,SCT,BKN,M,1900.00,2800.00,3500.00,M,-SN,M,M,M,M,KROC 010905Z AUTO 25005KT 9SM -SN FEW019 SCT028 BKN035 M17/M18 A3039 RMK T11701180 MADISHF
ART,2018-01-01 09:05,-76.0262,43.9888,M,M,M,80.00,5.00,M,30.42,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010905Z AUTO 08005KT 8SM CLR A3042 RMK MADISHF
BUF,2018-01-01 09:05,-78.7358,42.9408,M,M,M,250.00,6.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010905Z AUTO 25006KT 10SM CLR M17/M19 A3039 RMK T11701190 MADISHF
DKK,2018-01-01 09:05,-79.2720,42.4933,M,M,M,320.00,7.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,M,KDKK 010905Z AUTO 32007KT 10SM SCT032 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
IAG,2018-01-01 09:05,-78.9462,43.1073,M,M,M,240.00,5.00,M,30.40,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010905Z AUTO 24005KT 10SM BKN027 M17/M21 A3040 RMK T11701210 MADISHF
FZY,2018-01-01 09:06,-76.3847,43.3497,-2.90,-8.00,78.21,0.00,0.00,T,30.39,M,2.00,M,OVC,M,M,M,2100.00,M,M,M,-SN,M,M,M,-2.90,KFZY 010906Z AUTO 00000KT 2SM -SN OVC021 M19/M22 A3039 RMK AO2 P0000 T11941222
BUF,2018-01-01 09:10,-78.7358,42.9408,M,M,M,250.00,6.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010910Z AUTO 25006KT 10SM CLR M17/M18 A3039 RMK T11701180 MADISHF
DKK,2018-01-01 09:10,-79.2720,42.4933,M,M,M,330.00,6.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3200.00,7000.00,M,M,M,M,M,M,M,KDKK 010910Z AUTO 33006KT 10SM SCT032 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
ART,2018-01-01 09:10,-76.0262,43.9888,M,M,M,80.00,4.00,M,30.42,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010910Z AUTO 08004KT 8SM CLR M34/M37 A3042 RMK T13401370 MADISHF
DSV,2018-01-01 09:10,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,SCT,OVC,M,M,2700.00,4200.00,M,M,M,M,M,M,M,KDSV 010910Z AUTO 00000KT 10SM SCT027 OVC042 M17/M20 A3038 RMK T11701200 MADISHF
IAG,2018-01-01 09:10,-78.9462,43.1073,M,M,M,240.00,5.00,M,30.39,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,M,M,M,M,KIAG 010910Z AUTO 24005KT 10SM BKN027 M16/M21 A3039 RMK T11601210 MADISHF
FZY,2018-01-01 09:10,-76.3847,43.3497,M,M,M,0.00,0.00,M,30.39,M,2.00,M,OVC,M,M,M,2100.00,M,M,M,-SN,M,M,M,M,KFZY 010910Z AUTO 00000KT 2SM -SN OVC021 M19/M22 A3039 RMK T11901220 MADISHF
ROC,2018-01-01 09:10,-77.6767,43.1167,M,M,M,250.00,6.00,M,30.39,M,9.00,M,FEW,FEW,SCT,M,1900.00,2800.00,3500.00,M,-SN,M,M,M,M,KROC 010910Z AUTO 25006KT 9SM -SN FEW019 FEW028 SCT035 M17/M18 A3039 RMK T11701180 MADISHF
DSV,2018-01-01 09:12,-77.7130,42.5709,1.00,-4.00,78.95,0.00,0.00,0.00,30.38,M,10.00,M,SCT,OVC,M,M,2700.00,4000.00,M,M,M,M,M,M,1.00,KDSV 010912Z AUTO 00000KT 10SM SCT027 OVC040 M17/M20 A3038 RMK AO2 T11721200
FZY,2018-01-01 09:15,-76.3847,43.3497,M,M,M,0.00,0.00,M,30.39,M,2.00,M,OVC,M,M,M,2100.00,M,M,M,-SN,M,M,M,M,KFZY 010915Z AUTO 00000KT 2SM -SN OVC021 M19/M22 A3039 RMK T11901220 MADISHF
IAG,2018-01-01 09:15,-78.9462,43.1073,M,M,M,240.00,6.00,M,30.39,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,KIAG 010915Z AUTO 24006KT 10SM OVC025 M16/M20 A3039 RMK T11601200 MADISHF
SDC,2018-01-01 09:15,-77.1195,43.2346,8.60,1.40,71.92,330.00,4.00,0.00,30.40,M,10.00,M,BKN,OVC,M,M,2700.00,3200.00,M,M,M,M,M,M,0.09,KSDC 010915Z AUTO 33004KT 10SM BKN027 OVC032 M13/M17 A3040 RMK AO2
DSV,2018-01-01 09:15,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,SCT,BKN,OVC,M,2700.00,3300.00,4200.00,M,M,M,M,M,M,KDSV 010915Z AUTO 00000KT 10SM SCT027 BKN033 OVC042 M17/M20 A3038 RMK T11701200 MADISHF
BUF,2018-01-01 09:15,-78.7358,42.9408,M,M,M,260.00,6.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010915Z AUTO 26006KT 10SM CLR M17/M18 A3039 RMK T11701180 MADISHF
DKK,2018-01-01 09:15,-79.2720,42.4933,M,M,M,320.00,6.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3000.00,6500.00,M,M,M,M,M,M,M,KDKK 010915Z AUTO 32006KT 10SM SCT030 OVC065 M12/M18 A3040 RMK T11201180 MADISHF
ROC,2018-01-01 09:15,-77.6767,43.1167,M,M,M,250.00,6.00,M,30.39,M,9.00,M,FEW,FEW,M,M,1900.00,3300.00,M,M,M,M,M,M,M,KROC 010915Z AUTO 25006KT 9SM FEW019 FEW033 M18/M19 A3039 RMK T11801190 MADISHF
IAG,2018-01-01 09:20,-78.9462,43.1073,M,M,M,240.00,6.00,M,30.40,M,10.00,M,BKN,M,M,M,2500.00,M,M,M,M,M,M,M,M,KIAG 010920Z AUTO 24006KT 10SM BKN025 M15/M19 A3040 RMK T11501190 MADISHF
DSV,2018-01-01 09:20,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,FEW,BKN,OVC,M,2700.00,3300.00,4200.00,M,M,M,M,M,M,KDSV 010920Z AUTO 00000KT 10SM FEW027 BKN033 OVC042 M17/M20 A3038 RMK T11701200 MADISHF
ART,2018-01-01 09:20,-76.0262,43.9888,M,M,M,90.00,5.00,M,30.42,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010920Z AUTO 09005KT 8SM CLR A3042 RMK MADISHF
DKK,2018-01-01 09:20,-79.2720,42.4933,M,M,M,310.00,6.00,M,30.40,M,10.00,M,FEW,SCT,OVC,M,3000.00,5500.00,7000.00,M,M,M,M,M,M,KDKK 010920Z AUTO 31006KT 10SM FEW030 SCT055 OVC070 M12/M18 A3040 RMK T11201180 MADISHF
BUF,2018-01-01 09:20,-78.7358,42.9408,M,M,M,250.00,6.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010920Z AUTO 25006KT 10SM CLR M17/M19 A3039 RMK T11701190 MADISHF
